事件名,严格断言数,全部断言数,受控角色数,省域数,观测起,观测止,状态
徐海各县联席会议,0,3,0,0,,,context_only
秋暴,1,14,7,1,,,strict_backbone
中央航空公司起义事件,0,2,0,0,,,context_only
减租减息/民主政权建设,0,0,0,0,,,isolated
学运工作,1,10,2,0,,,strict_backbone
水利贷粮政策,0,3,0,0,,,context_only
舒城春秋山战斗,0,3,0,0,,,context_only
桐城县第一次党代会,0,2,0,0,,,context_only
国民党湖北省党部筹备处成立,0,4,4,0,,,strict_backbone
组织教师和学生运动,0,8,3,1,1931-01-01,1931-12-31,strict_backbone
赣南游击战争,0,8,4,1,1934-07-01,1934-07-31,strict_backbone
接收枪支弹药,0,3,0,0,,,context_only
小兴集战斗,0,2,2,0,,,strict_backbone
张家场特支,0,1,0,0,,,context_only
边纵整军建政,0,3,1,0,,,strict_backbone
武汉各界人士集会,0,1,0,0,,,context_only
借粮任务,0,2,2,0,,,strict_backbone
政治大队,0,5,0,1,,,context_only
书写张贴标语,1,3,1,0,,,strict_backbone
十一届三中全会,0,3,0,0,,,context_only
右倾保守主义,0,4,3,0,,,strict_backbone
撤退干部到解放区培训,0,2,2,0,,,strict_backbone
"""五卅""运动后援会",0,2,0,0,,,context_only
大龙战斗,0,4,2,1,,,strict_backbone
峨山县蜂窝塘反击战,0,2,2,0,,,strict_backbone
王明‘左’倾路线,0,9,0,0,,,context_only
统一战线,0,44,2,1,,,strict_backbone
解放黄平与征粮支前,0,2,2,0,,,strict_backbone
反动应变计划与土匪暴乱,0,2,0,0,,,context_only
拦截班船活捉陆俊,0,5,0,0,,,context_only
上海工人三次暴动,0,4,0,0,,,context_only
华容县农民代表大会,0,3,0,0,,,context_only
总暴动,0,3,1,1,,,strict_backbone
西固战争,0,1,0,0,,,context_only
国民会议江西促成会,2,7,7,0,,,strict_backbone
宣威两面政权,1,7,6,0,,,strict_backbone
《战号》副刊,0,6,0,0,,,context_only
搜查孔瑞五,0,4,1,0,,,strict_backbone
红军经过前光屯事件,0,6,0,0,,,context_only
镰刀队,0,2,0,0,,,context_only
剑、川暴动,0,1,0,0,,,context_only
湖沟战斗,0,1,1,0,,,strict_backbone
宣威革命形势,3,3,3,0,,,strict_backbone
广州起义失败,0,3,0,0,,,context_only
北川地下党组织破坏事件,0,3,0,0,,,context_only
筹军粮,0,3,1,0,,,strict_backbone
袭击西宁场行动,0,6,4,0,,,strict_backbone
浏阳农民运动,0,5,3,0,,,strict_backbone
柳池井游击战争,1,1,1,0,,,strict_backbone
青峰镇战斗,0,3,3,0,,,strict_backbone
民族政策实施,3,6,4,0,,,strict_backbone
统一指挥,0,3,0,0,,,context_only
第二次国内革命战争,1,21,11,1,,,strict_backbone
七日行动部署,0,1,1,0,,,strict_backbone
省工委会议,0,1,0,0,,,context_only
淮宝抗日民主政权,0,3,0,0,,,context_only
整风课,0,6,0,0,,,context_only
罗盘地区革命斗争,0,1,0,0,,,context_only
会师事件,0,4,4,0,,,strict_backbone
冬学讲习会,0,2,2,0,,,strict_backbone
华中反摩擦斗争,0,2,2,0,1941-01-01,1941-12-31,strict_backbone
施家边战斗,0,3,3,0,,,strict_backbone
华蓥山起义教训,0,1,0,0,,,context_only
动员工农参军与秋收代耕,0,3,1,0,,,strict_backbone
渡僧桥战斗,0,6,4,1,,,strict_backbone
孝感露天演讲团,0,3,2,0,,,strict_backbone
泰州战役,2,16,7,0,,,strict_backbone
淮南敌后游击战,0,3,3,0,,,strict_backbone
举办读书会,0,2,2,0,,,strict_backbone
苏北兵团攻势,0,3,1,1,,,strict_backbone
延陵战斗,0,3,3,0,,,strict_backbone
岑巩县人民政府成立,0,2,0,0,,,context_only
成立革新社与编辑《革新》刊,0,1,0,0,,,context_only
黑茶山事件,0,3,0,0,,,context_only
罗盘区群众运动,0,1,1,0,,,strict_backbone
大炮队战斗活动,0,5,1,0,,,strict_backbone
土兵袭击与红军突围谈判,0,2,0,0,,,context_only
反三征小组,0,2,0,0,,,context_only
新学生社,0,2,2,0,,,strict_backbone
元谋龙街大道渡江,0,6,0,0,,,context_only
废止金圆券斗争,0,7,1,0,,,strict_backbone
沙间反革命事件平反,0,3,0,0,,,context_only
繁昌中分村战斗,0,2,2,0,,,strict_backbone
中央红军长征,0,49,3,1,,,strict_backbone
黔东特区建立,0,3,2,0,,,strict_backbone
迎接解放大军入滇,0,6,2,0,,,strict_backbone
军事打击与政治争取,0,4,1,0,,,strict_backbone
绵安中心县委成立,0,3,0,0,,,context_only
大理转运新兵任务,0,1,0,0,,,context_only
文化宣传工作,0,3,0,0,,,context_only
战场救护,0,2,0,0,,,context_only
仪南、万源、宣达战役,0,0,0,0,,,isolated
打出旗号起义,1,3,2,0,,,strict_backbone
华中局会议,0,4,2,0,,,strict_backbone
黄埔军校相关军事训练,0,3,0,0,,,context_only
黄会,0,6,1,0,,,strict_backbone
闸北地区巷战,0,2,2,0,,,strict_backbone
威宁合围战,0,2,2,0,,,strict_backbone
成立总支,0,3,1,0,,,strict_backbone
重伤员医疗队,0,5,0,0,,,context_only
安顺地区接管行动,0,5,2,0,,,strict_backbone
普渡河抢渡战斗,0,3,1,1,,,strict_backbone
巧渡金沙江部署,0,3,1,0,,,strict_backbone
支援都匀坝固区战斗,0,5,2,1,,,strict_backbone
云南游击战争,1,17,11,1,,,strict_backbone
疫情,0,1,0,0,,,context_only
三·一三血案,0,2,1,0,,,strict_backbone
奇袭古州,0,2,0,0,,,context_only
赣西南苏维埃时期,0,3,0,0,,,context_only
苏北反‘扫荡’斗争,0,4,4,0,,,strict_backbone
大董庄安绅团,0,2,0,0,,,context_only
樊家硐战斗,0,5,3,1,,,strict_backbone
抗战剧社,0,1,0,0,,,context_only
精兵简政运动,0,3,0,0,,,context_only
铜山解放,0,3,1,0,,,strict_backbone
南京雨花台就义,0,2,0,0,,,context_only
四·八烈士节纪念活动,0,3,1,1,,,strict_backbone
地下交通工作,0,6,0,0,,,context_only
新式整军活动,0,3,1,0,,,strict_backbone
铜钱垭伏击战,0,9,4,1,,,strict_backbone
瓦解反动武装,0,2,0,0,,,context_only
黄麻秋收起义,0,5,5,0,,,strict_backbone
古田会议,6,36,24,0,,,strict_backbone
半桥高虎垴的堡垒战,0,3,1,0,,,strict_backbone
江西省行政区划调整,0,1,0,0,,,context_only
九·二三爱国民主运动,0,3,1,0,,,strict_backbone
中国妇女联谊会南京分会,0,11,0,1,,,context_only
苗族独立团成立,2,5,5,0,,,strict_backbone
五二·○反内战运动,0,4,2,0,1947-01-01,1947-12-31,strict_backbone
打通两师联系,0,3,3,0,,,strict_backbone
打入南报社,0,3,2,0,,,strict_backbone
庄行暴命,0,1,1,0,,,strict_backbone
木门寺,0,7,0,0,,,context_only
反国家、国家主义派斗争,0,1,1,0,,,strict_backbone
磁器口特支,0,6,2,0,,,strict_backbone
合川妇女慰劳分会,0,7,2,0,,,strict_backbone
围歼何文开匪部/攻占拉八关,0,0,0,0,,,isolated
抢马斗争事件,0,3,0,0,,,context_only
涟水刀会暴动,0,2,2,0,,,strict_backbone
群众化工作,0,2,0,0,,,context_only
闽浙赣省‘四部一会’,0,8,1,1,,,strict_backbone
磨刀溪之战,0,4,2,1,,,strict_backbone
韩西北阻击战,0,3,0,0,,,context_only
潜伏任务,0,3,1,1,,,strict_backbone
龙武战斗,0,1,0,0,,,context_only
赣南党的第二次代表大会,0,1,0,0,,,context_only
营山战斗,0,3,3,0,,,strict_backbone
护厂运动,2,8,3,0,,,strict_backbone
田赋改革,0,4,0,0,,,context_only
土匪围攻,0,6,1,0,,,strict_backbone
互相支援并肩战斗,0,2,0,0,,,context_only
黔江战役,0,3,0,0,,,context_only
全歼突围敌人,0,1,0,0,,,context_only
均县农民运动,1,5,2,0,,,strict_backbone
黎平会议研究,0,1,1,0,,,strict_backbone
演出抗日话剧/募捐,0,2,2,0,,,strict_backbone
据点工作,0,5,0,0,,,context_only
湖南人民解放突击第十二大队,0,3,0,0,,,context_only
结案移送,0,4,1,0,,,strict_backbone
吉安学生运动,0,1,1,0,,,strict_backbone
长沙人力车工人罢工,0,3,3,0,,,strict_backbone
广东省农民协会扩大会议,0,5,0,0,,,context_only
马克思诞辰纪念会,2,2,2,0,,,strict_backbone
反特宪斗争,0,1,1,0,,,strict_backbone
攻打军大坪,0,5,3,1,,,strict_backbone
百子、山地区斗争,0,1,0,0,,,context_only
俱乐部解散事件,0,3,0,0,,,context_only
安顺军民大会,0,5,2,0,,,strict_backbone
驱黄运动,0,3,0,1,,,context_only
社会主义青年团成都市工作委员会成立,0,1,0,0,,,context_only
代耕制度,0,2,0,0,,,context_only
六·一血案,0,5,2,0,,,strict_backbone
攻破宁远县城,2,2,2,0,,,strict_backbone
整党建党工作计划,0,3,0,0,,,context_only
侵占盐城,1,6,4,0,,,strict_backbone
大别山根据地建设,0,4,2,0,,,strict_backbone
抗日根据地实行各项政策,0,3,0,0,,,context_only
华蓥山地区武装起义,0,10,7,0,,,strict_backbone
南调休整/转移/高兴圩战斗,0,1,1,0,,,strict_backbone
中江反帝拥红工作,0,3,1,1,,,strict_backbone
宝山乡公所攻占事件,0,3,1,0,,,strict_backbone
宜良县城解放,0,1,1,0,,,strict_backbone
统一战线工作,6,47,10,1,,,strict_backbone
湘北土改运动,0,3,3,0,,,strict_backbone
顺路尾追,0,2,0,0,,,context_only
旧州保卫战激战,0,1,1,0,,,strict_backbone
草海战斗,0,5,3,1,,,strict_backbone
平塘茂村四寨奔袭,0,1,0,0,,,context_only
兰交会,0,6,2,0,,,strict_backbone
土匪骨干训练班,0,3,0,0,,,context_only
涧河线王桥西成湾战斗,0,5,2,0,,,strict_backbone
卢汉九九整肃,0,2,0,0,,,context_only
乡巴佬合唱团,0,1,0,0,,,context_only
安源路矿工人罢工,0,38,31,1,,,strict_backbone
张家坪战役,0,3,2,0,,,strict_backbone
投入支援双堆集战斗,0,1,0,0,,,context_only
反美扶日大游行,0,4,1,1,,,strict_backbone
成立游击指挥,0,2,2,0,,,strict_backbone
合围战果/活捉都堪,0,1,1,0,,,strict_backbone
反蒋反军阀宣传,0,5,3,0,,,strict_backbone
弹药转运,0,3,1,0,,,strict_backbone
横丰年关暴动,0,3,3,0,,,strict_backbone
中国共产党第十次全国代表大会,0,2,2,0,,,strict_backbone
睦家湖战斗,1,5,3,0,,,strict_backbone
起义舰艇,0,5,0,0,,,context_only
庐山谈话会,0,3,0,0,,,context_only
四·二一战斗细节,1,1,1,0,,,strict_backbone
雷公山搜剿,1,4,2,0,,,strict_backbone
马台渡口战役,1,2,2,0,,,strict_backbone
第一次国内革命战争时期的农民运动,0,2,2,3,,,strict_backbone
安余湘铁壁合围,0,1,1,0,,,strict_backbone
秘密工作教训,0,3,0,0,,,context_only
皖南斗争,2,5,5,0,,,strict_backbone
清江兴文农民运动,0,1,1,0,,,strict_backbone
建立抗日民主政权,1,3,1,0,,,strict_backbone
民联军,0,5,2,0,,,strict_backbone
访问团组织,0,1,0,0,,,context_only
马家崖事件,1,3,1,0,,,strict_backbone
桥街镇暴动,0,5,2,0,,,strict_backbone
修建桥梁/兴办教育,0,0,0,0,,,isolated
牛街革命斗争,0,5,4,0,,,strict_backbone
查田评产减租退押运动,0,2,2,0,,,strict_backbone
川西区暨成都市妇女工作团成立,0,1,0,0,,,context_only
反蒋协定,1,3,1,0,,,strict_backbone
打土豪分财物,0,3,0,0,,,context_only
新七军和永州专署起义,0,1,0,0,,,context_only
桂滇黔边第二临时人民政府专员公署成立,0,2,0,0,,,context_only
妇救会捐款慰问活动,0,6,1,1,,,strict_backbone
北伐军总政治部改组,0,2,2,0,,,strict_backbone
上海工人游艺会,0,2,2,0,,,strict_backbone
反清剿/土顽政策调整,1,6,4,0,,,strict_backbone
进军西藏,0,1,0,0,,,context_only
应城惨案,0,5,2,0,,,strict_backbone
山乡成立苏维埃,0,2,0,0,,,context_only
皖赣边游击战争,0,5,2,0,,,strict_backbone
敌工队活动,1,6,3,0,,,strict_backbone
南下四进干部人事建政,0,3,1,0,,,strict_backbone
广州小商人独立组织,0,1,0,0,,,context_only
歌咏队/读书会,0,1,0,0,,,context_only
退租救荒运动,0,9,9,3,1949-01-01,1949-12-31,strict_backbone
红二方面军长征,4,19,8,0,,,strict_backbone
铜仁战役,1,5,2,1,,,strict_backbone
东沟战斗,0,1,0,0,,,context_only
缴枪建武装,0,2,2,0,,,strict_backbone
儿童团成立,0,1,0,0,,,context_only
中国革命形势,0,2,0,0,,,context_only
潜山农民自救会,0,2,0,0,,,context_only
赣地战斗,0,2,2,0,,,strict_backbone
1951年清剿行动,0,6,4,0,,,strict_backbone
江西省第一次农民代表大会,0,2,2,0,,,strict_backbone
抗日战争时期群众大会,0,1,1,0,,,strict_backbone
土地分配与经济建设,0,4,0,0,,,context_only
地下情报工作,0,1,0,0,,,context_only
敌我双方战斗,0,3,2,0,,,strict_backbone
护乡大队组建/缩编,0,4,1,0,,,strict_backbone
斗争前列,0,1,0,0,,,context_only
九月几讲习会,0,3,0,0,,,context_only
东征皖东敌后抗日,1,4,2,0,,,strict_backbone
株木桥战斗,0,14,6,1,,,strict_backbone
南进云南/敌军追击,0,5,3,0,,,strict_backbone
崇州谈判,0,2,0,0,,,context_only
保护工商业布告,0,3,0,0,,,context_only
陈家坝特支,1,6,1,1,,,strict_backbone
失业工人运动,0,2,2,0,,,strict_backbone
招携战斗,0,1,0,0,,,context_only
抗洪救灾,0,7,4,0,,,strict_backbone
叶飞在江北的斗争,0,2,2,0,,,strict_backbone
京汉路惨案,0,5,3,0,,,strict_backbone
江西省第一次工农兵代表大会,0,2,0,0,,,context_only
瓮余泗战役等系列合围,0,2,2,0,,,strict_backbone
鄂北第五总队,1,7,2,0,,,strict_backbone
抗日救亡群众团体,0,3,0,0,,,context_only
倒高斗争,0,4,1,1,,,strict_backbone
反对内战独裁运动,0,2,2,0,,,strict_backbone
攻打南康/伏击民团,0,1,1,0,,,strict_backbone
乌江战役,4,16,5,0,,,strict_backbone
独自搜山智擒,0,2,1,0,,,strict_backbone
各省秋收起义,0,2,0,0,,,context_only
赣粤边区革命斗争,0,3,0,0,,,context_only
会师和北进任务时间,0,1,0,0,,,context_only
精兵简政和大生产运动,0,1,1,0,,,strict_backbone
游击七大队,0,1,0,0,,,context_only
抗美援朝优抚,0,1,0,0,,,context_only
突围,1,14,3,0,,,strict_backbone
秘密开展地下活动,0,2,0,0,,,context_only
纪念芦沟桥事变七周年专刊,0,2,2,0,,,strict_backbone
军部移至岩寺,0,3,1,0,,,strict_backbone
四二一示威大游行,0,2,1,0,,,strict_backbone
集中兵力,0,10,0,0,,,context_only
月山铁铺岭伏击战,0,2,2,0,,,strict_backbone
川陕省第三次党代会,0,1,0,0,,,context_only
石宝寨渡江,0,3,0,0,,,context_only
成立临时法庭与打土豪分财物,0,6,3,1,,,strict_backbone
龙山区队,0,3,0,0,,,context_only
安化县换户团,0,3,0,0,,,context_only
横沟暴动,2,22,6,0,,,strict_backbone
贵州抗日救国军序列,0,3,0,0,,,context_only
红军反围剿,0,1,0,0,,,context_only
对抗国民党作恶官兵斗争,0,3,1,0,,,strict_backbone
雁门关战斗等战役,0,1,0,0,,,context_only
移动演剧队第一队,0,2,0,0,,,context_only
红三军前委会议,2,2,2,0,1931-01-01,1931-12-31,strict_backbone
伤员转运保障,0,3,1,0,,,strict_backbone
工农自卫军干部训练队,1,2,2,0,,,strict_backbone
南腰界会师庆祝大会,0,5,1,0,,,strict_backbone
青岛惨案,0,1,1,0,,,strict_backbone
沙市之役,0,2,2,0,,,strict_backbone
新兵动员工作,0,2,2,0,,,strict_backbone
分兵行动,0,9,2,0,,,strict_backbone
医院更名,0,2,0,0,,,context_only
茅山反“清乡”,0,3,0,0,,,context_only
宿县汽车公司罢工,0,1,0,0,,,context_only
永安镇战斗,0,3,3,0,,,strict_backbone
贴标语行动,0,2,2,0,1930-01-01,1930-12-31,strict_backbone
职工联谊会,0,2,2,0,,,strict_backbone
抗暴抗税斗争,0,2,0,0,,,context_only
陈谢兵团挺进陇海西线,0,2,0,0,,,context_only
小学教育,0,3,1,0,,,strict_backbone
万县英轮惨毙同胞雪耻会,0,2,2,0,,,strict_backbone
三元寨战斗,1,17,12,1,,,strict_backbone
漪澜读书会,0,1,0,0,,,context_only
四一二革命政变,0,6,1,1,,,strict_backbone
武昌解放,1,8,1,1,,,strict_backbone
石宝寨武装斗争,0,3,1,0,,,strict_backbone
黔大仁三县中心县委成立,0,3,0,0,,,context_only
反对土豪劣绅斗争,0,3,2,0,,,strict_backbone
四川反共运动,0,1,0,0,,,context_only
盐江剿匪斗争,0,3,1,0,,,strict_backbone
雅沙塘伏击战,0,1,0,0,,,context_only
革命运动,0,1,0,0,,,context_only
攻打望谟,1,3,3,0,,,strict_backbone
送粮分发,0,3,1,3,,,strict_backbone
盱眙城解放,1,3,1,0,,,strict_backbone
腊山游击中队,1,2,1,0,,,strict_backbone
苏州县委成立,0,1,0,0,,,context_only
红军干部大会,0,2,0,0,,,context_only
劝降土匪与带路剿匪,0,2,2,0,,,strict_backbone
五九暴动,0,3,1,1,,,strict_backbone
宣威县城印刷所建设,0,2,2,0,,,strict_backbone
響腸農民協會,0,1,0,0,,,context_only
渡江战斗竞赛,0,3,0,0,,,context_only
锦屏土匪叛乱,0,2,2,0,,,strict_backbone
突围总攻部署,0,3,1,0,,,strict_backbone
铜梁县农运武装斗争,0,1,0,0,,,context_only
教唱抗日歌曲,0,3,1,0,,,strict_backbone
信义乡政权,0,3,0,0,,,context_only
峨山大队,0,4,0,0,,,context_only
政治攻势与清剿,0,1,0,0,,,context_only
红二军团成立,2,6,2,0,,,strict_backbone
克亳之战,0,2,0,0,,,context_only
盘山合围总结,0,2,0,0,,,context_only
立夏节武装暴动,0,2,2,0,,,strict_backbone
六烈士集体被害惨案,1,3,1,0,,,strict_backbone
江苏中小学教师思想学习活动,0,3,1,1,,,strict_backbone
戛拉山槽大合围,0,3,1,1,,,strict_backbone
茨河农民暴动,0,3,3,0,,,strict_backbone
盐阜暴动,0,3,1,1,,,strict_backbone
抗‘佃当捐’斗争,0,6,3,1,,,strict_backbone
昭通四中等学校和全县学生庆祝柏林解放大会,0,3,1,0,,,strict_backbone
泗阳土改,0,4,2,0,,,strict_backbone
奔赴抗日前线,0,2,2,0,,,strict_backbone
綦江解放和接管工作,0,1,0,0,,,context_only
强渡长江解放南京,0,1,0,0,,,context_only
林隆江防大队,0,5,2,0,,,strict_backbone
潜伏电台破获行动,0,3,0,0,,,context_only
时事教育,0,3,0,0,,,context_only
抗日工作团,0,3,0,0,,,context_only
瓮朗剿匪战斗,0,3,3,0,,,strict_backbone
湘南起义,37,287,138,3,,,strict_backbone
一二·八事件营救暴动与三抗斗争,0,1,0,0,,,context_only
转移湘西,0,1,0,0,,,context_only
抗丁、抗粮、抗税运动,0,1,0,0,,,context_only
增产节约运动,0,1,0,0,,,context_only
特务反省大会,0,3,1,1,,,strict_backbone
古邳暴动,0,2,1,0,,,strict_backbone
共青团全国四大,0,3,1,0,,,strict_backbone
宣传群众运动,0,2,0,0,,,context_only
上海改组,0,3,0,0,,,context_only
大革命运动,1,12,5,3,1924-01-01,1927-12-31,strict_backbone
修筑道路桥梁,0,2,0,0,,,context_only
跨省追捕逃匪,0,3,1,0,,,strict_backbone
江巴两县干部联席会议,1,5,3,0,,,strict_backbone
群众组织建立,0,6,0,0,,,context_only
政治思想教育,0,6,0,0,,,context_only
芦山城战斗,0,5,2,0,,,strict_backbone
助学运动转变为‘人权’斗争,0,4,4,0,,,strict_backbone
民校分裂与筹备民党县部,0,2,0,0,,,context_only
湖南南部工农代表大会,0,3,0,1,,,context_only
渡江战役支前工作,0,2,2,0,,,strict_backbone
1922年妇女罢工运动,0,6,2,1,,,strict_backbone
武装斗争准备,1,4,2,0,,,strict_backbone
政策教育/医治性病,0,2,1,0,,,strict_backbone
红军一军成立,0,2,0,0,,,context_only
四六分成,0,3,0,0,,,context_only
保产护校斗争,0,3,0,0,,,context_only
九潮坳反伏击战斗,0,5,3,1,,,strict_backbone
三门惨案,1,4,4,0,,,strict_backbone
重庆入党事件,0,2,0,0,,,context_only
夜袭台烈,0,2,2,0,,,strict_backbone
重庆解放,3,94,30,0,,,strict_backbone
经济研究会,0,1,0,0,,,context_only
散发传单,0,8,5,0,,,strict_backbone
伪保安团,0,2,0,0,,,context_only
平江县第一次工农兵代表大会,0,3,0,1,,,context_only
临时中央指示电,0,3,1,0,,,strict_backbone
县工委会议,0,3,1,0,,,strict_backbone
合川兵暴,2,36,18,0,,,strict_backbone
南通城乡武装斗争,0,3,0,0,,,context_only
反共会议,0,2,0,0,,,context_only
新干县妇女干部训练班,2,4,4,0,,,strict_backbone
罗云坝兵变,0,2,2,0,,,strict_backbone
第五次围剿/清剿,0,5,0,0,,,context_only
贵阳抗日救亡学生运动,0,1,1,0,,,strict_backbone
元江斗争,1,1,1,0,,,strict_backbone
两溪地区战斗,0,5,3,1,,,strict_backbone
涟水党务训练班,0,6,3,0,,,strict_backbone
财经工作,0,7,0,0,,,context_only
四川妇女联合会,1,11,4,0,,,strict_backbone
红四军七大八大会,0,1,0,0,,,context_only
一二九纪念大会,0,1,0,0,,,context_only
反对‘二十一条’卖国条约运动,0,1,1,0,,,strict_backbone
湘潭沦陷,0,5,2,0,,,strict_backbone
豫丰纱厂斗争,1,5,3,0,,,strict_backbone
工会运动,0,16,2,0,,,strict_backbone
大别山反围攻、反'清剿'战役,0,2,2,0,,,strict_backbone
常州市工人代表大会,0,1,0,0,,,context_only
二月逆流,0,3,1,0,,,strict_backbone
反动军人斗争,0,2,2,0,,,strict_backbone
反革命破坏活动打击行动,0,3,0,1,,,context_only
学生驱逐校长刘燮斗争,0,1,0,0,,,context_only
四打搁港战果,0,5,1,0,,,strict_backbone
三抗运动,0,11,6,1,,,strict_backbone
乌蒙山区回旋战,1,2,2,0,,,strict_backbone
学生自治会主席被停职事件,0,1,0,0,,,context_only
上海工人首次纪念五一国际劳动节,0,5,3,0,,,strict_backbone
难民逃亡事件,0,3,0,0,,,context_only
"""四、六""反革命暴乱",0,1,1,0,,,strict_backbone
宣传党的方针,0,5,0,0,,,context_only
巫溪石王宫战斗,0,3,0,0,,,context_only
茅家岭监狱夺枪暴动,0,1,1,0,,,strict_backbone
反对基督教与反文化侵略,0,1,0,0,,,context_only
日伪军事“清剿”,0,6,1,0,,,strict_backbone
四一二反革命事件,0,6,6,1,1949-01-01,1949-12-31,strict_backbone
綦江惨案,1,7,3,0,,,strict_backbone
建立滇西北人民行政专署,0,1,0,0,,,context_only
第二阶段剿匪,0,3,0,0,,,context_only
游击斗争/坚贞不屈/受酷刑,0,2,0,0,,,context_only
辛亥革命,2,39,18,1,,,strict_backbone
沱川区委被袭事件,0,15,3,0,,,strict_backbone
鸡街车站激战,0,2,2,0,,,strict_backbone
苏中战役/分兵坚持,0,2,2,0,,,strict_backbone
雷公山合围剿匪,0,3,1,1,,,strict_backbone
起义武装,0,5,1,0,,,strict_backbone
突破四道封锁线渡过湘江拆毁碉堡,0,18,0,0,,,context_only
贯彻八七会议精神与土地革命暴动,2,2,2,0,,,strict_backbone
湘鄂边根据地形成,0,5,2,2,,,strict_backbone
狙击王村战斗,0,3,0,0,,,context_only
万年台大会,0,1,0,0,,,context_only
解放沿河人员名单,0,1,0,0,,,context_only
上海党撤退,1,1,1,0,,,strict_backbone
湘黔边活动,0,2,2,0,,,strict_backbone
皖南山区斗争方针确定,0,3,0,0,,,context_only
地主斗争,0,1,0,0,,,context_only
巴中地区抗日文艺宣传活动,0,2,2,0,,,strict_backbone
巧家蒙姑抗敌后援会,0,1,0,0,,,context_only
红五月宣传,0,4,0,0,,,context_only
吃皮带充饥,0,6,1,0,,,strict_backbone
拉姆运动,0,1,1,0,,,strict_backbone
霍邱县委成立,0,5,0,0,,,context_only
缅宁保卫战,0,11,5,0,,,strict_backbone
缴械搜捕,0,3,1,0,,,strict_backbone
上海临时市民代表会议,0,2,2,0,,,strict_backbone
剿匪伏击战,0,3,0,0,,,context_only
菜子塘战斗,0,5,3,1,,,strict_backbone
组织发展,0,3,0,0,,,context_only
台堡烽火社,0,6,1,1,,,strict_backbone
反饥饿、反内战、反迫害民主爱国运动,0,2,2,0,,,strict_backbone
红二、六溪会师地,0,2,0,0,,,context_only
闸北区战斗,0,3,3,0,,,strict_backbone
迎接南下大军解放云南和贵州,0,1,0,0,,,context_only
国民党警察所,0,3,0,0,,,context_only
龙家寨伏击战,0,3,3,0,,,strict_backbone
文协贵阳分会成立,1,3,1,0,,,strict_backbone
广安民众救亡剧联团,1,3,1,0,,,strict_backbone
张贴标语斗争,0,3,0,0,,,context_only
瓦解争取敌军,0,5,3,1,,,strict_backbone
东固事件,0,2,2,0,,,strict_backbone
《古城怒吼》话剧,0,3,0,0,,,context_only
水路追踪,0,2,1,0,,,strict_backbone
川军各部,0,5,0,0,,,context_only
没收征收/分配果实,0,1,0,0,,,context_only
反革命组织改组派活动,0,5,3,1,,,strict_backbone
戚电厂防空队,0,3,0,0,,,context_only
黄柏山战役,0,3,0,0,,,context_only
军民同围剿,0,2,2,0,,,strict_backbone
声援南京惨案运动,0,3,0,0,,,context_only
国共合作问题,0,1,1,0,,,strict_backbone
苏南反清乡斗争史料编纂,0,3,2,1,,,strict_backbone
洪滩歼敌,0,3,3,0,,,strict_backbone
普度战斗,0,2,2,0,,,strict_backbone
威远县五里沽斗争,0,1,1,0,,,strict_backbone
九一八事变,1,60,10,0,,,strict_backbone
湘文党,0,4,0,0,,,context_only
土地改革工作,0,6,6,3,1951-01-01,1951-12-31,strict_backbone
峨眉县小学教育普及促进会,0,2,2,0,,,strict_backbone
黄甲战斗,0,1,0,0,,,context_only
綦江铁矿罢工,0,2,2,0,,,strict_backbone
赣南学生总会,0,2,0,0,,,context_only
仁怀县军粮运输事件,0,5,5,0,,,strict_backbone
湘鄂赣边区土地改革,0,3,0,0,,,context_only
国共谈判,5,49,23,2,1937-11-01,1937-11-30,strict_backbone
思南支部会议,0,1,0,0,,,context_only
会剿计划,0,3,0,0,,,context_only
攻占杨家滩战斗,0,3,1,1,,,strict_backbone
烧毁敌哨棚行动,0,3,1,0,,,strict_backbone
《武装保卫夏收》,0,1,0,0,,,context_only
攻打猫云战斗,0,6,3,1,,,strict_backbone
江川革命武装斗争,1,2,2,0,,,strict_backbone
小朱庄战术分析,0,3,0,0,,,context_only
杨口战斗,0,5,3,0,,,strict_backbone
闸口铁路工人暴动,1,3,1,0,,,strict_backbone
各界人民代表会议/剿匪肃特/救灾,0,3,3,0,,,strict_backbone
敌伪军统战工作,0,2,2,0,,,strict_backbone
川陕省第一次工农兵代表大会,0,4,0,0,,,context_only
中共西南局委员会第一次会议,0,5,0,1,,,context_only
土豪乡绅压迫农民,0,3,1,3,,,strict_backbone
抗日动员活动,0,3,1,1,,,strict_backbone
青科技,1,9,2,0,,,strict_backbone
长征任务,0,3,2,0,,,strict_backbone
中共中央政治局会议,4,56,15,3,1930-06-01,1930-06-30,strict_backbone
围剿赵达芝匪部,1,2,1,0,,,strict_backbone
濉溪解放,0,3,0,1,,,context_only
旧城暴动,17,77,59,1,1947-01-01,1947-12-31,strict_backbone
两万五千里长征,0,1,0,0,,,context_only
九江国民议会,0,2,2,0,,,strict_backbone
敌进我退,0,3,0,0,,,context_only
《向吴伯循开刀》,0,3,0,0,,,context_only
解放宜昌战斗,0,2,2,0,,,strict_backbone
南马塘战斗,0,2,2,0,,,strict_backbone
三十都农民武装暴动,0,4,1,0,,,strict_backbone
鄂豫皖根据地反围剿战斗,0,2,2,0,,,strict_backbone
通南巴革命斗争,0,1,1,0,,,strict_backbone
高淳县人民政府成立,0,3,0,0,,,context_only
与东河行委合并,1,2,2,0,,,strict_backbone
